region_id;iso_smaf;gr_age;inf1avq0;inf0avq1;inf1avq1;inf0avq0;AVD
5;3;2;0;1;0;0;.3017406
5;10;2;0;1;0;0;.3072966
5;6;2;1;0;0;0;.0597311
5;14;2;0;1;0;0;.2496763
5;3;2;0;0;0;1;1
5;1;2;1;0;0;0;.0551595
5;14;2;0;0;0;1;1
5;6;2;0;0;1;0;.2471947
5;1;2;0;0;1;0;.2318123
5;4;2;0;0;1;0;.2471947
5;11;2;1;0;0;0;.0430205
5;1;2;0;1;0;0;.3017406
5;13;2;0;0;1;0;.1885557
5;2;2;0;0;0;1;1
5;9;2;0;0;0;1;1
5;7;2;0;1;0;0;.3072966
5;7;2;0;0;1;0;.2365169
